bill_length_mm,flipper_length_mm,body_mass_g,bill_ratio,species,island,sex
39.1,181.0,3750.0,2.0909090909090913,Adelie,Torgersen,male
39.5,186.0,3800.0,2.270114942528736,Adelie,Torgersen,female
40.3,195.0,3250.0,2.238888888888889,Adelie,Torgersen,female
36.7,193.0,3450.0,1.9015544041450778,Adelie,Torgersen,female
39.3,190.0,3650.0,1.907766990291262,Adelie,Torgersen,male
38.9,181.0,3625.0,2.185393258426966,Adelie,Torgersen,female
39.2,195.0,4675.0,2.0,Adelie,Torgersen,male
41.1,182.0,3200.0,2.3352272727272725,Adelie,Torgersen,female
38.6,191.0,3800.0,1.8207547169811322,Adelie,Torgersen,male
34.6,198.0,4400.0,1.6398104265402844,Adelie,Torgersen,male
36.6,185.0,3700.0,2.056179775280899,Adelie,Torgersen,female
38.7,195.0,3450.0,2.0368421052631582,Adelie,Torgersen,female
42.5,197.0,4500.0,2.0531400966183577,Adelie,Torgersen,male
34.4,184.0,3325.0,1.8695652173913044,Adelie,Torgersen,female
46.0,194.0,4200.0,2.13953488372093,Adelie,Torgersen,male
37.8,174.0,3400.0,2.065573770491803,Adelie,Biscoe,female
37.7,180.0,3600.0,2.016042780748663,Adelie,Biscoe,male
35.9,189.0,3800.0,1.8697916666666667,Adelie,Biscoe,female
38.2,185.0,3950.0,2.110497237569061,Adelie,Biscoe,male
38.8,180.0,3800.0,2.255813953488372,Adelie,Biscoe,male
35.3,187.0,3800.0,1.8677248677248677,Adelie,Biscoe,female
40.6,183.0,3550.0,2.182795698924731,Adelie,Biscoe,male
40.5,187.0,3200.0,2.2625698324022347,Adelie,Biscoe,female
37.9,172.0,3150.0,2.0376344086021505,Adelie,Biscoe,female
40.5,180.0,3950.0,2.1428571428571432,Adelie,Biscoe,male
39.5,178.0,3250.0,2.3652694610778444,Adelie,Dream,female
37.2,178.0,3900.0,2.0552486187845305,Adelie,Dream,male
39.5,188.0,3300.0,2.2191011235955056,Adelie,Dream,female
40.9,184.0,3900.0,2.164021164021164,Adelie,Dream,male
36.4,195.0,3325.0,2.1411764705882352,Adelie,Dream,female
39.2,196.0,4150.0,1.8578199052132702,Adelie,Dream,male
38.8,190.0,3950.0,1.94,Adelie,Dream,male
42.2,180.0,3550.0,2.2810810810810813,Adelie,Dream,female
37.6,181.0,3300.0,1.9481865284974094,Adelie,Dream,female
39.8,184.0,4650.0,2.083769633507853,Adelie,Dream,male
